Food,Calories,Protein,Fat,Carbs
Apple,52,0.3,0.2,14
Banana,89,1.1,0.3,23
Egg,155,13,11,1.1
Chicken Breast,165,31,3.6,0
Broccoli,55,3.7,0.6,11
Rice,130,2.4,0.3,28
Food,Calories,Protein,Fat,Carbs
Rice,130,2.4,0.3,28
Brown Rice,111,2.6,0.9,23
Chapati,120,3.1,0.4,24
Roti,110,3,0.5,22
Naan,260,9,3,50
Bread,265,9,3.2,49
White Bread,266,8,3,49
Whole Wheat Bread,247,13,4.2,41
Oats,389,17,7,66
Poha,180,3,4,32
Upma,190,5,6,30
Idli,58,2,0.4,12
Dosa,168,4.5,6,27
Masala Dosa,250,6,8,35
Sambar,90,3,2,15
Dal,198,11,1.2,34
Rajma,333,24,1,60
Chole,364,19,6,61
Paneer,265,18,21,3
Tofu,144,15,8,3
Milk,42,3.4,1,5
Full Cream Milk,60,3.2,3.3,5
Curd,98,11,4,3
Cheese,402,25,33,1
Butter,717,0.9,81,0
Ghee,900,0,100,0
Egg,155,13,11,1
Boiled Egg,78,6,5,1
Chicken Breast,165,31,3.6,0
Chicken Curry,240,27,13,4
Mutton Curry,294,25,21,3
Fish,206,22,12,0
Salmon,208,20,13,0
Tuna,132,28,1,0
Prawns,99,24,0.3,0
Apple,52,0.3,0.2,14
Banana,89,1.1,0.3,23
Orange,47,0.9,0.1,12
Mango,60,0.8,0.4,15
Papaya,43,0.5,0.3,11
Watermelon,30,0.6,0.2,8
Grapes,69,0.7,0.2,18
Pineapple,50,0.5,0.1,13
Strawberry,32,0.7,0.3,8
Carrot,41,0.9,0.2,10
Potato,77,2,0.1,17
Sweet Potato,86,1.6,0.1,20
Tomato,18,0.9,0.2,4
Onion,40,1.1,0.1,9
Spinach,23,2.9,0.4,3
Broccoli,55,3.7,0.6,11
Cabbage,25,1.3,0.1,6
Cauliflower,25,2,0.3,5
Peas,81,5.4,0.4,14
Corn,96,3.4,1.5,21
Cucumber,15,0.7,0.1,4
Pizza,266,11,10,33
Burger,295,17,14,30
French Fries,312,3.4,15,41
Samosa,262,4,17,24
Pakora,312,5,20,28
Maggi Noodles,450,9,18,62
Chocolate,546,5,31,61
Ice Cream,207,3.5,11,24
Cake,257,3,9,45
Cookies,502,6,24,65
Sugar,387,0,0,100
Honey,304,0.3,0,82
Peanut Butter,588,25,50,20
Almonds,579,21,50,22
Cashews,553,18,44,30
Walnuts,654,15,65,14
Peanuts,567,26,49,16
Lentils,353,25,1.1,60
Quinoa,368,14,6,64
Barley,354,12,2,73
